Order_Number,Date,Customer_Name,Email,Ship_Date,Shipping_Address_Line1,Shipping_Address_Line2,Shipping_City,Shipping_State,Shipping_Zip,Product_Code,Product_Description,Unit_Price,Quantity,Extended_Price,Service_Fee,Total_Discount,Sub_Total,Shipping,Total_Amount,Source_File,Source_Page
2773.0,3/11/2024,Val Pruitt,val.pruitt8949@icloud.com,3/12/2024,9821 Alder Way,,MOODUS,CT,064,SAMP,Sampler Pack,129.99,1.0,129.99,6.39,0.0,136.38,12.0,148.38,"Adobe Scan Sep 17, 2025 (1).pdf",12
2778.0,3/11/2024,Bennett Jennings,bennett.jennings7868@outlook.com,3/12/2024,1350 Birch Ave,,STRONGSVILLE,OH,441,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,5.26,0.0,110.25,12.0,122.25,"Adobe Scan Sep 17, 2025 (1).pdf",13
2783.0,3/11/2024,Val Kowalski,val.kowalski1947@outlook.com,3/12/2024,3967 Cypress Blvd,,MIAMI,FL,331,CHOC-3,Dark Chocolate Bar — 3-Pack,160.98,1.0,160.98,7.78,0.0,168.76,12.0,180.76,"Adobe Scan Sep 17, 2025 (1).pdf",14
2779.0,3/11/2024,Odette Farrell,odette.farrell3107@yahoo.com,3/12/2024,6871 Magnolia St,,OAKDALE,PA,150,CARM-5,Signature Caramels — 5-Pack,149.99,1.0,149.99,6.28,-22.5,133.77,12.0,145.77,"Adobe Scan Sep 17, 2025 (1).pdf",15
12804.0,3/11/2024,Gray Larkin,gray.larkin3813@yahoo.com,3/12/2024,3883 Sycamore Ave,,CLIFTON SPGS,NY,144,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",16
2805.0,3/11/2024,Harper Abbott,harper.abbott1524@gmail.com,3/12/2024,7721 Poplar Way,,BOSTON,MA,021,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",17
2807.0,3/11/2024,Kai Xu,kai.xu2400@outlook.com,3/12/2024,2939 Laurel Way,,ASHLAND,OR,975,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,4.56,-15.75,93.8,12.0,105.8,"Adobe Scan Sep 17, 2025 (1).pdf",18
2809.0,3/12/2024,Elliot Larkin,elliot.larkin5721@outlook.com,3/12/2024,5617 Aspen Ct,,BAY SHORE,NY,117,CHOC-3,Dark Chocolate Bar — 3-Pack,160.98,2.0,321.96,20.88,0.0,472.83,12.0,484.83,"Adobe Scan Sep 17, 2025 (1).pdf",19
2809.0,3/12/2024,Elliot Larkin,elliot.larkin5721@outlook.com,3/12/2024,5617 Aspen Ct,,BAY SHORE,NY,117,SAMP,Sampler Pack,129.99,1.0,129.99,20.88,0.0,472.83,12.0,484.83,"Adobe Scan Sep 17, 2025 (1).pdf",19
2811.0,3/12/2024,Dominic Whitfield,dominic.whitfield2509@proton.me,3/12/2024,1768 Spruce Ter,,MADISON HTS.,MI,480,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.22,-10.5,62.71,12.0,74.71,"Adobe Scan Sep 17, 2025 (1).pdf",20
2812.0,3/12/2024,Marlowe Cho,marlowe.cho6800@outlook.com,3/12/2024,866 Dogwood Rd,,SAINT JOSEPH,MI,490,CARM-1,Signature Caramels — 1-Pack,49.99,1.0,49.99,2.79,0.0,52.78,12.0,64.78,"Adobe Scan Sep 17, 2025 (1).pdf",21
12604.0,3/8/2024,Keira Kowalski,,3/11/2024,4878 Maple Ter,,MIAMI,FL,331,CHOC-5,Dark Chocolate Bar — 5-Pack,481.96,1.0,481.96,0.0,-481.96,0.0,0.0,0.0,"Adobe Scan Sep 17, 2025 (1).pdf",22
2603.0,3/8/2024,Zara Donovan,zara.donovan8585@icloud.com,3/11/2024,723 Sequoia Way,,RENO,NV,895,SAMP,Sampler Pack,129.99,1.0,129.99,7.96,-19.5,118.45,12.0,130.45,"Adobe Scan Sep 17, 2025 (1).pdf",23
2593.0,3/8/2024,Vince Xu,vince.xu5201@gmail.com,3/11/2024,217 Linden Ct,,COLUMBUS,KS,667,SAMP,Sampler Pack,129.99,1.0,129.99,7.96,-19.5,118.45,12.0,130.45,"Adobe Scan Sep 17, 2025 (1).pdf",24
2606.0,3/8/2024,Odette Guerrero,odette.guerrero4391@yahoo.com,3/11/2024,508 Sequoia Ave,,FREDERICK,MD,217,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",25
12608.0,3/8/2024,Mira Thorne,mira.thorne371@gmail.com,3/11/2024,6834 Hemlock Ter,,CHANHASSEN,MN,553,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",26
2609.0,3/8/2024,Uma Underwood,uma.underwood3304@proton.me,3/11/2024,4238 Redwood Ter,,DRIPPING SPGS,TX,786,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",27
2511.0,3/8/2024,Leon Mercer,leon.mercer5087@proton.me,3/11/2024,4964 Hemlock Ln,,SPENCER,NV,188,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",28
2610.0,3/8/2024,Parker Okafor,parker.okafor340@icloud.com,3/11/2024,3677 Linden Ln,,BIGFORK,MT,599,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",29
2683.0,3/9/2024,Theo Hollis,theo.hollis8298@proton.me,3/11/2024,3760 Juniper Pl,,BRENTWOOD,TN,370,SAMP,Sampler Pack,129.99,1.0,129.99,6.39,0.0,136.38,12.0,148.38,"Adobe Scan Sep 17, 2025 (1).pdf",30
2616.0,3/8/2024,Mira Nakamura,mira.nakamura9962@icloud.com,3/11/2024,9629 Poplar Ct,,FT WALTON BCH,FL,325,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",31
2617.0,3/8/2024,Leon Iverson,leon.iverson3460@proton.me,3/11/2024,5258 Maple Ln,,BUDD LAKE,NJ,078,SAMP,Sampler Pack,129.99,1.0,129.99,7.96,-19.5,118.45,12.0,130.45,"Adobe Scan Sep 17, 2025 (1).pdf",32
12685.0,3/9/2024,Kai Mercer,kai.mercer7436@icloud.com,3/11/2024,7902 Dogwood Way,,PORTLAND,OR,972,CHOC-3,Dark Chocolate Bar — 3-Pack,160.98,1.0,160.98,7.78,0.0,168.76,12.0,180.76,"Adobe Scan Sep 17, 2025 (1).pdf",33
2686.0,3/9/2024,Greta Bianchi,greta.bianchi9067@gmail.com,3/11/2024,2480 Poplar Rd,,WRANGELL,AK,999,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",34
2689.0,3/9/2024,Reese Iverson,reese.iverson1932@proton.me,3/11/2024,1334 Aspen St,,LONGWOOD,FL,327,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",35
2682.0,3/9/2024,Nova Ghosh,nova.ghosh3984@proton.me,3/11/2024,3064 Spruce Ct,,FRISCO,TX,750,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",36
12680.0,3/9/2024,Isla Xu,isla.xu897@icloud.com,3/11/2024,4761 Hawthorn Dr,,ZIONSVILLE,IN,460,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.22,-10.5,62.71,12.0,74.71,"Adobe Scan Sep 17, 2025 (1).pdf",37
2677.0,3/9/2024,Reese Zimmerman,reese.zimmerman5136@yahoo.com,3/11/2024,2374 Linden Dr,,TEMPLE,NH,308,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",38
2676.0,3/9/2024,Priya Ainsworth,priya.ainsworth3665@proton.me,3/11/2024,501 Sycamore Rd,,TOMBALL,TX,773,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",39
2675.0,3/9/2024,Jordan Ghosh,jordan.ghosh375@gmail.com,3/11/2024,8794 Spruce Rd,,PORTAGE,WI,539,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",40
2671.0,3/9/2024,Logan Okafor,logan.okafor9425@yahoo.com,3/11/2024,6322 Laurel Dr,,AUSTIN,TX,787,CARM-1,Signature Caramels — 1-Pack,49.99,1.0,49.99,4.03,0.0,54.02,12.0,66.02,"Adobe Scan Sep 17, 2025 (1).pdf",41
2674.0,3/9/2024,Wren Thorne,wren.thorne8169@yahoo.com,3/11/2024,7433 Chestnut Pl,,PHILADELPHIA,PA,191,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",42
2666.0,3/19/2024,Priya Emerson,priya.emerson8970@outlook.com,3/11/2024,7508 Dogwood Ln,,WILSONVILLE,OR,970,SAMP,Sampler Pack,129.99,2.0,259.98,15.14,-39.0,236.12,12.0,248.12,"Adobe Scan Sep 17, 2025 (1).pdf",43
2668.0,3/9/2024,Harper Castellano,harper.castellano570@outlook.com,3/11/2024,436 Alder Rd,,WESTMINSTER,CO,800,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,7.6,0.0,112.59,12.0,124.59,"Adobe Scan Sep 17, 2025 (1).pdf",44
2669.0,3/9/2024,Julian Okafor,julian.okafor4764@icloud.com,3/11/2024,5819 Maple Ct,,SAN ANTONIO,TX,782,CARM-5,Signature Caramels — 5-Pack,149.99,1.0,149.99,10.53,0.0,160.52,12.0,172.52,"Adobe Scan Sep 17, 2025 (1).pdf",45
2665.0,3/9/2024,Logan Sinclair,logan.sinclair387@outlook.com,3/11/2024,8856 Alder Pl,,MELROSE,MA,021,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",46
2647.0,3/9/2024,Sage Iverson,sage.iverson8205@outlook.com,3/11/2024,7868 Birch St,,CLARKSTON,MI,483,CHOC-3,Dark Chocolate Bar — 3-Pack,160.98,1.0,160.98,11.24,0.0,172.22,12.0,184.22,"Adobe Scan Sep 17, 2025 (1).pdf",47
2649.0,3/9/2024,Keira Donovan,keira.donovan5240@gmail.com,3/11/2024,8359 Redwood Pl,,BLACK HAWK,SD,577,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,1.0,240.98,16.44,0.0,257.42,12.0,269.42,"Adobe Scan Sep 17, 2025 (1).pdf",48
2633.0,3/8/2024,Willa Quintero,willa.quintero9074@yahoo.com,3/11/2024,299 Willow Ct,,ST AUGUSTINE,FL,320,CARM-5,Signature Caramels — 5-Pack,149.99,1.0,149.99,10.53,0.0,160.52,12.0,172.52,"Adobe Scan Sep 17, 2025 (1).pdf",49
2636.0,3/9/2024,Felix Donovan,felix.donovan6176@yahoo.com,3/11/2024,1991 Birch Dr,,CANON CITY,CO,812,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",50
2637.0,3/9/2024,Uma Emerson,uma.emerson1241@icloud.com,3/11/2024,8358 Spruce Way,,BELLINGHAM,WA,982,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",51
2628.0,3/8/2024,Logan Guerrero,logan.guerrero731@yahoo.com,3/11/2024,1533 Linden Dr,,RICHFIELD,MN,554,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,6.58,-15.75,95.82,12.0,107.82,"Adobe Scan Sep 17, 2025 (1).pdf",52
2600.0,3/8/2024,Elliot Donovan,elliot.donovan3905@outlook.com,3/11/2024,7898 Linden Pl,,LAFAYETTE,CA,945,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,7.6,0.0,112.59,12.0,124.59,"Adobe Scan Sep 17, 2025 (1).pdf",53
2630.0,3/8/2024,Umi Okafor,umi.okafor2897@icloud.com,3/11/2024,9296 Sycamore Rd,,LONGMONT,CO,805,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",54
2595.0,3/8/2024,Amara Thorne,amara.thorne7812@icloud.com,3/11/2024,3810 Chestnut Rd,,CLEVELAND,OH,441,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",55
2597.0,3/8/2024,Willa Mercer,willa.mercer3134@icloud.com,3/11/2024,810 Spruce Ave,,CHICAGO,IL,606,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",56
2599.0,3/8/2024,Parker Kowalski,parker.kowalski816@icloud.com,3/11/2024,2856 Hemlock Ave,,CHICAGO,IL,606,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",57
2596.0,3/8/2024,Wren Emerson,wren.emerson3272@yahoo.com,3/11/2024,4159 Aspen Ter,,FOUNTAIN,CO,808,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,3.05,0.0,38.04,12.0,50.04,"Adobe Scan Sep 17, 2025 (1).pdf",58
2594.0,3/8/2024,Odette Whitfield,odette.whitfield6105@outlook.com,3/11/2024,3622 Dogwood St,,NIAGARA FALLS,NY,143,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,5.33,0.0,75.32,12.0,87.32,"Adobe Scan Sep 17, 2025 (1).pdf",59
2591.0,3/8/2024,Xen Jennings,xen.jennings7199@yahoo.com,3/11/2024,4669 Linden Rd,,LYNNWOOD,WA,980,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,1.0,240.98,16.44,0.0,257.42,12.0,269.42,"Adobe Scan Sep 17, 2025 (1).pdf",60
2690.0,3/9/2024,Oakley Kowalski,oakley.kowalski6358@gmail.com,3/11/2024,2260 Aspen Ave,,EUREKA,CA,955,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,1.0,240.98,11.38,0.0,252.36,12.0,264.36,"Adobe Scan Sep 17, 2025 (1).pdf",61
2692.0,3/10/2024,Blake Escobar,blake.escobar2675@yahoo.com,3/11/2024,9141 Hemlock Way,,ALLEGAN,MI,901,CHOC-1,Dark Chocolate Bar — 1-Pack,79.99,1.0,79.99,6.28,-22.5,133.76,12.0,145.76,"Adobe Scan Sep 17, 2025 (1).pdf",62
2692.0,3/10/2024,Blake Escobar,blake.escobar2675@yahoo.com,3/11/2024,9141 Hemlock Way,,ALLEGAN,MI,901,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,6.28,-22.5,133.76,12.0,145.76,"Adobe Scan Sep 17, 2025 (1).pdf",62
2722.0,3/10/2024,Sage Vasquez,sage.vasquez5777@icloud.com,3/11/2024,8248 Willow St,,WILMINGTON,MA,018,CHOC-3,Dark Chocolate Bar — 3-Pack,55.25,1.0,55.25,5.25,-56.34,109.89,12.0,121.89,"Adobe Scan Sep 17, 2025 (1).pdf",63
2726.0,3/10/2024,Rafael Emerson,rafael.emerson5125@icloud.com,3/11/2024,1550 Sycamore Way,,SAN TAN VLY,AZ,851,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,1.0,240.98,7.59,-84.34,164.23,12.0,176.23,"Adobe Scan Sep 17, 2025 (1).pdf",64
12131.0,3/10/2024,Isla Delgado,isla.delgado2415@proton.me,3/11/2024,5272 Willow Blvd,,SALEM,OR,973,CHOC-1,Dark Chocolate Bar — 1-Pack,193.84,1.0,193.84,8.86,0.0,193.84,12.0,205.84,"Adobe Scan Sep 17, 2025 (1).pdf",65
12131.0,3/10/2024,Isla Delgado,isla.delgado2415@proton.me,3/11/2024,5272 Willow Blvd,,SALEM,OR,973,GUMM-5,Botanical Gummies — 5-Pack,79.99,1.0,79.99,8.86,0.0,193.84,12.0,205.84,"Adobe Scan Sep 17, 2025 (1).pdf",65
2693.0,3/10/2024,Simone Escobar,simone.escobar245@icloud.com,3/11/2024,7021 Laurel Rd,,LAKEWOOD,CO,802,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",66
2696.0,3/10/2024,Parker Larkin,parker.larkin3208@proton.me,3/11/2024,8424 Magnolia Ter,,YORK,ME,039,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",67
2894.0,3/10/2024,Harper Yates,harper.yates9023@icloud.com,3/11/2024,3914 Hemlock St,,RINGWOOD,IL,600,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",68
2697.0,3/10/2024,Cameron Delgado,cameron.delgado9476@icloud.com,3/11/2024,4462 Chestnut Ln,,LAKE TAHOE,CA,961,CARM-1,Signature Caramels — 1-Pack,49.99,1.0,49.99,2.79,0.0,52.78,12.0,64.78,"Adobe Scan Sep 17, 2025 (1).pdf",69
2663.0,3/9/2024,Xavier Nakamura,xavier.nakamura7726@icloud.com,3/11/2024,211 Poplar Ter,,BREWER,ME,044,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",70
2660.0,3/9/2024,Simone Castellano,simone.castellano891@yahoo.com,3/11/2024,4043 Linden Way,,ARNOLD,MD,210,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",71
2659.0,3/9/2024,Colette Whitfield,colette.whitfield1610@yahoo.com,3/11/2024,6589 Alder Ln,,WINSTON SALEM,NC,271,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",72
2657.0,3/9/2024,Greta Castellano,greta.castellano678@yahoo.com,3/11/2024,930 Poplar Ct,,ROME,GA,301,CARM-3,Signature Caramels — 3-Pack,99.99,1.0,99.99,7.28,0.0,107.27,12.0,119.27,"Adobe Scan Sep 17, 2025 (1).pdf",73
2658.0,3/9/2024,Finley Yates,finley.yates1535@proton.me,3/11/2024,1355 Aspen Rd,,STUDIO CITY,CA,916,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,0.0,-104.99,0.0,0.0,0.0,"Adobe Scan Sep 17, 2025 (1).pdf",74
2652.0,3/9/2024,Elliot Underwood,elliot.underwood3893@yahoo.com,3/11/2024,4284 Juniper Pl,,PLEASANTVILLE,NY,105,SAMP,Sampler Pack,129.99,1.0,129.99,9.23,0.0,139.22,12.0,151.22,"Adobe Scan Sep 17, 2025 (1).pdf",75
2655.0,3/7/2024,Greta Xu,greta.xu3170@gmail.com,3/11/2024,3715 Magnolia Rd,,NEW ORLEANS,LA,701,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,1.0,240.98,16.44,0.0,257.42,12.0,269.42,"Adobe Scan Sep 17, 2025 (1).pdf",76
2650.0,3/9/2024,Dakota Hollis,dakota.hollis3764@proton.me,3/11/2024,8553 Cedar Ave,,SUCCASUNNA,NJ,078,GUMM-3,Botanical Gummies — 3-Pack,69.99,2.0,129.99,13.78,0.0,213.76,12.0,225.76,"Adobe Scan Sep 17, 2025 (1).pdf",77
2653.0,3/9/2024,Reese Pruitt,reese.pruitt5863@gmail.com,3/11/2024,8603 Cypress Pl,,NEW BRITAIN,CT,060,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,4.65,-10.5,64.14,12.0,76.14,"Adobe Scan Sep 17, 2025 (1).pdf",78
12734.0,3/10/2024,Amara Emerson,amara.emerson76@gmail.com,3/11/2024,7353 Magnolia Ter,,ST IGNATIUS,MT,598,GUMM-1,Botanical Gummies — 1-Pack,35.0,1.0,35.0,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",79
2735.0,3/10/2024,Nova Thorne,nova.thorne9075@outlook.com,3/11/2024,5597 Magnolia Way,,STANWOOD,WA,982,CHOC-3,Dark Chocolate Bar — 3-Pack,5.25,1.0,5.25,0.0,-56.34,109.89,12.0,121.89,"Adobe Scan Sep 17, 2025 (1).pdf",80
2736.0,3/10/2024,Harper Ramsey,harper.ramsey8624@proton.me,3/11/2024,7875 Sycamore Blvd,,FORT WORTH,TX,761,ASST,Assorted Selection,12.24,1.0,12.24,0.0,0.0,272.22,12.0,284.22,"Adobe Scan Sep 17, 2025 (1).pdf",81
2742.0,3/10/2024,Cameron Emerson,cameron.emerson7499@icloud.com,3/11/2024,4435 Hemlock Dr,,RICHARDSON,TX,750,CARM-1,Signature Caramels — 1-Pack,49.99,1.0,49.99,2.79,0.0,52.78,12.0,64.78,"Adobe Scan Sep 17, 2025 (1).pdf",82
2743.0,3/10/2024,Finley Okafor,finley.okafor6554@yahoo.com,3/11/2024,8412 Willow St,,CHARLESTOWN,IN,471,CHOC-1,Dark Chocolate Bar — 1-Pack,3.6,1.0,3.6,0.0,-12.0,71.59,12.0,83.59,"Adobe Scan Sep 17, 2025 (1).pdf",83
2744.0,3/10/2024,Dakota Haddad,dakota.haddad2750@yahoo.com,3/11/2024,4095 Cedar Dr,,HOLLY RIDGE,NC,284,GUMM-5,Botanical Gummies — 5-Pack,110.25,1.0,110.25,5.26,0.0,110.25,12.0,122.25,"Adobe Scan Sep 17, 2025 (1).pdf",84
2747.0,3/10/2024,Esme Escobar,esme.escobar1005@proton.me,3/11/2024,583 Magnolia Ln,,JERSEY CITY,NJ,073,CHOC-3,Dark Chocolate Bar — 3-Pack,99.99,1.0,99.99,9.75,-56.34,214.38,12.0,226.38,"Adobe Scan Sep 17, 2025 (1).pdf",85
2747.0,3/10/2024,Esme Escobar,esme.escobar1005@proton.me,3/11/2024,583 Magnolia Ln,,JERSEY CITY,NJ,073,CARM-3,Signature Caramels — 3-Pack,99.99,1.0,99.99,9.75,-56.34,214.38,12.0,226.38,"Adobe Scan Sep 17, 2025 (1).pdf",85
2749.0,3/10/2024,Finley Cho,finley.cho5170@proton.me,3/11/2024,2203 Dogwood Ave,,LADERA RANCH,CA,926,CARM-5,Signature Caramels — 5-Pack,269.98,1.0,269.98,13.78,-246.63,308.11,12.0,320.11,"Adobe Scan Sep 17, 2025 (1).pdf",86
